,video_id,video_title,video_date,comment_text,comment_date
12,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,"Hi! It's the year 2024 where my mother decided for me to start learning python as a free time thing, I never really was interested in anything growing up until she gave me this idea, as an 11 yr old currently learning, its hard i get it but overtime its becoming a little more easier for me to understand and im almost 2 hrs into it, Thank you mother for giving me a new world to learn it! P.S Mosh you would probably be my favourite teacher in secondary! Bye i hope u carry on and become bigger as time goes by!",2024-09-29T10:40:55Z
13,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,😂I got stuck by an issue somehow I am not able to render the actual image of each product after I change the source attribute to {{ product.image_url}}. I have checked several times but I have no idea what's going wrong,2024-09-29T07:27:00Z
14,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,Perez Ruth Rodriguez Charles Davis Jennifer,2024-09-29T05:36:50Z
15,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,"I was writing the codes for the guess game ; i found your way beautiful but I did not know about the ""break""!so, I did it like this:         

      i=1
guess_i = 0
while i<=3 and guess_i !=9:
 guess_i = int(input(""guess the right number?""))
 i=i+1
if guess_i ==9 :
    print(""you wine"")
else:
    print(""you failed"")",2024-09-29T00:20:03Z
16,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,I am learning python for data science,2024-09-28T22:30:52Z
17,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,96452 Stanton Lock,2024-09-28T21:58:33Z
18,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,guys kinda struggled with  building the car game exercise. do you have any suggestions to understand the while loops better?,2024-09-28T20:16:20Z
19,_uQrJ0TkZlc,Python Tutorial - Python Full Course for Beginners,2019-02-18T15:00:08Z,Best teacher❤,2024-09-28T20:14:35Z
20,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,perfect video for a quick recap,2024-09-29T12:28:29Z
21,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,"Great video! I already know how to program with LUA, and python is basically LUA but more advanced.",2024-09-28T18:08:32Z
22,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,Wunsch Port,2024-09-28T15:39:16Z
23,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,what app do you use,2024-09-28T13:59:52Z
24,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,Clark Donna Rodriguez Melissa Thompson Sharon,2024-09-27T06:28:27Z
25,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,Borer Island,2024-09-25T14:37:53Z
26,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,,2024-09-22T10:24:12Z
27,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,Davis David Perez Gary Miller Susan,2024-09-22T09:42:23Z
28,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,"but you forgot print (""Hello World""), right? If i am wrong then sorry i am learning, i onky know this lol",2024-09-21T22:07:52Z
29,fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast &amp; Easy),2021-05-26T12:32:40Z,Williams Elizabeth Lopez Larry Lewis James,2024-09-21T16:18:52Z
30,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,"haha print(""hello world"") go b"" +""r"" * 8 subscribe = input(""Subscribe to this guy"") print(subscribe)",2024-09-27T20:32:24Z
31,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Now tutorial is getting out of  hand,2024-09-26T18:21:11Z
32,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Proud to be a Python Developer😎,2024-09-22T20:04:14Z
33,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,451 Maggio Lock,2024-09-20T03:14:56Z
34,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Howell Land,2024-09-19T13:37:49Z
35,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Cleveland Trail,2024-09-19T11:03:34Z
36,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Thomas Amy Jackson Amy Wilson Lisa,2024-09-18T13:23:46Z
37,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Moore Elizabeth Johnson Mary Robinson Matthew,2024-09-18T07:51:54Z
38,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,Robinson Jeffrey Anderson Jeffrey Smith Mary,2024-09-17T16:01:19Z
39,x7X9w_GIm1s,Python in 100 Seconds,2021-10-25T15:19:28Z,McDermott Springs,2024-09-16T11:46:42Z
40,0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31T12:57:40Z,Subscribe for more Billy :),2022-08-23T15:23:15Z
41,0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31T12:57:40Z,Damn Billy wtf 🤦🤣,2024-09-28T21:30:38Z
42,0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31T12:57:40Z,"bruh, writing      ""for i in range(1, len(list))"",    instead of       ""for i in list""       got me. Even though it's wrong, he could do it more simple",2024-09-24T19:43:09Z
43,0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31T12:57:40Z,"Yup, after the Python course for begginers in Udemy, I finally get the jokes here xD",2024-09-23T19:00:10Z
44,0MhVkKHYUAY,New Python Coders Be Like...,2022-07-31T12:57:40Z,"Billy, you're freakin fired",2024-09-23T01:42:58Z
